Sample,X(ms) [08.05.2023 12:46:06 896 UTC],"LSim_PT2aper_DB.input","LSim_PT2aper_DB.output"
19829,1683549966896.286868,0,0
19830,1683549966896.530959,0,0
19831,1683549966896.785650,0,0
19832,1683549966897.031764,0,0
19833,1683549966897.277604,0,0
19834,1683549966897.525059,0,0
19835,1683549966897.785621,0,0
19836,1683549966898.025976,1,0.0104705840349197
19837,1683549966898.274281,1,0.0104705840349197
19838,1683549966898.523920,1,0.0104705840349197
19839,1683549966898.771460,1,0.0104705840349197
19840,1683549966899.023745,1,0.0355002321302891
19841,1683549966899.286944,1,0.0355002321302891
19842,1683549966899.524089,1,0.0355002321302891
19843,1683549966899.771489,1,0.0355002321302891
19844,1683549966900.024289,1,0.0684494227170944
19845,1683549966900.274127,1,0.0684494227170944
19846,1683549966900.524027,1,0.0684494227170944
19847,1683549966900.771412,1,0.0684494227170944
19848,1683549966901.044406,1,0.0684494227170944
19849,1683549966901.274459,1,0.105335503816605
19850,1683549966901.524021,1,0.105335503816605
19851,1683549966901.771517,1,0.105335503816605
19852,1683549966902.028859,1,0.105335503816605
19853,1683549966902.274392,1,0.143785119056702
19854,1683549966902.524102,1,0.143785119056702
19855,1683549966902.771455,1,0.143785119056702
19856,1683549966903.042028,1,0.143785119056702
19857,1683549966903.275201,1,0.182398989796638
19858,1683549966903.526146,1,0.182398989796638
19859,1683549966903.773708,1,0.182398989796638
19860,1683549966904.066888,1,0.182398989796638
19861,1683549966904.289915,1,0.220366656780243
19862,1683549966904.524614,1,0.220366656780243
19863,1683549966904.771528,1,0.220366656780243
19864,1683549966905.024518,1,0.220366656780243
19865,1683549966905.271922,1,0.257232874631882
19866,1683549966905.523938,1,0.257232874631882
19867,1683549966905.771368,1,0.257232874631882
19868,1683549966906.036077,1,0.257232874631882
19869,1683549966906.274531,1,0.292756199836731
19870,1683549966906.541069,1,0.292756199836731
19871,1683549966906.774214,1,0.292756199836731
19872,1683549966907.067475,1,0.292756199836731
19873,1683549966907.280852,1,0.326823025941849
19874,1683549966907.526977,1,0.326823025941849
19875,1683549966907.778565,1,0.326823025941849
19876,1683549966908.090201,1,0.326823025941849
19877,1683549966908.289894,1,0.359395831823349
19878,1683549966908.524109,1,0.359395831823349
